item,mcare
23,2458226248
23,2478895481
23,6478319745
23,7120138859
23,2000246409
23,6463924704
36,1863170998
23,8848398553
23,8376879333
23,7951988716
23,2142628351
23,5981284869
36,6542147446
23,4914395515
23,3285482454
23,2921869936
23,7800070741
23,4892082075
36,3346308883
23,3016021702
23,4367123621
23,9122679336
36,4948721344
36,3572475681
36,5548219779
23,2113368544
23,2142628351
23,3067801508
23,4914395515
23,7206335967
23,3495251815
23,6327141104
23,8848398553
23,3633997490
23,9686728563
23,9590680689
23,1230361680
23,1309657911
23,9208432539
23,2000246409
23,3605251316
23,4555016791
23,3516881326
23,7324603042
23,3346308883
23,9590680689
23,1904593712
23,7698548234
23,4905777383
23,4479852020
23,3683450545
23,3756381372
23,8072130963
36,9559108264
23,6684568526
23,8413805952
36,2142628351
23,2620060914
23,3853175668
23,9099487309
23,1847249544
23,5766908460
23,7031566638
23,4948721344
23,3552268754
23,1374917808
23,7571007134
23,5949390655
23,9524811310
36,2293400505
23,2322121745
23,8848398553
23,2322121745
23,5096821599
23,3775293142
23,9122679336
23,6623863695
23,6623863695
23,3074680553
23,6664141045
23,8848398553
23,5975794252
23,4954489835
23,2585261558
23,3605251316
23,2889222364
36,1200172080
23,6189741269
23,4504112193
23,6975239142
23,8049005078
23,2559737265
23,8950686937
23,8950686937
23,9790181952
23,8178103299
23,8049005078
23,6684568526
23,2889222364
23,9263193108
23,5351323570
23,8825160127
23,3074680553
23,9263193108
23,9134929512
23,2860973659
23,1994356853
23,7536187602
36,4121005984
23,3839753111
23,8892876227
23,2559737265
23,2322121745
23,7324603042
23,5766908460
23,4328677258
23,7031566638
23,4232102085
23,8178103299
23,6236080203
23,3552268754
23,5295810145
23,6189741269
23,9099487309
23,2585261558
23,9122679336
36,1157193683
23,9521427407
23,7324603042
23,5565965043
36,1700301892
23,4948721344
23,3572475681
23,6731955150
36,6769326619
23,2921869936
36,8825160127
23,3278951902
23,9686728563
23,6189741269
23,1863170998
36,4758931013
23,8825160127
23,7184680655
23,3572475681
36,9254168294
23,3516881326
23,5949390655
36,9559108264
23,8556473382
23,4367123621
23,1555891747
23,9134929512
23,7521381386
36,7951988716
23,2559737265
23,2416458069
23,2000246409
23,2581387884
23,9623842503
23,6478319745
36,7560757983
23,2458226248
23,1587567043
36,8472373857
36,2581387884
23,2860973659
36,1439647057
36,3160990367
36,1374917808
23,3495251815
23,9266707219
36,6685739517
23,4121005984
23,9521427407
23,2803535363
36,2426364103
23,6542147446
23,6623863695
36,8376879333
23,1083087878
23,5949390655
36,5766908460
36,9099487309
23,5212401372
23,1863170998
23,6657081381
23,7536187602
23,8178103299
36,2941315170
23,7571007134
23,4104253103
23,7382796198
23,3430064846
23,2581387884
23,8180455985
36,4550188545
23,8183129371
23,5487705305
23,4948721344
23,2142628351
23,1230361680
23,5981284869
36,6327141104
36,2458226248
23,9686728563
23,8376879333
23,5629462766
23,7698548234
23,3200886834
36,7382796198
23,4555016791
23,2803535363
36,1083087878
36,5971949242
36,6478319745
36,2154754634
23,1555891747
23,3003483528
23,9882659948
23,9605439709
23,1847249544
23,8183129371
23,5548219779
23,9559108264
23,8825160127
23,2765988401
23,5975794252
23,4550188545
23,2680820593
23,9521427407
23,9502634745
23,9476955891
23,6542218297
23,3074680553
23,1687285678
23,9099487309
23,9521427407
36,2620060914
23,3853175668
23,5565965043
23,8950686937
23,9790181952
23,3016021702
36,8848398553
23,5062517154
23,2860973659
23,2486200471
23,6685739517
23,8413805952
23,6620734201
23,7710843191
23,2067820172
23,5351323570
23,3430064846
23,5062517154
23,9134929512
23,6866940621
23,3552268754
23,3756381372
23,2921902510
23,1687285678
23,8178103299
23,3683450545
36,6250861997
23,1439647057
23,2551806351
23,6236080203
36,6189741269
23,3572475681
36,8413805952
23,5766908460
23,9521427407
23,9790181952
23,5581662489
23,3278951902
23,8893183650
23,9122679336
23,2416458069
36,6352619268
36,5975794252
23,3495251815
23,2860973659
23,3074680553
23,3775293142
23,5096821599
23,6944471934
23,2860973659
23,2860973659
23,5760117428
23,5403410354
36,8112447434
23,2297761474
23,6542218297
23,2113368544
23,2322121745
23,9623842503
36,1439647057
23,9816408657
23,6657081381
23,6542147446
23,9816408657
23,7499406310
23,4555016791
23,8825160127
23,5295810145
23,8893183650
23,2620060914
23,7374316853
23,3633997490
36,2581387884
23,2889222364
36,9208432539
23,8072130963
23,3495251815
23,4289323477
23,8180455985
23,9790181952
23,7571007134
23,7413865279
23,5800440047
36,4367123621
23,6664141045
23,2585261558
23,5581662489
23,8472373857
23,5096821599
23,9521427407
23,5981284869
23,5971949242
23,2297761474
36,3572475681
23,8616758028
23,3605251316
23,6460231396
23,3436498400
23,2585261558
23,2765988401
23,3516881326
23,1994356853
23,3285482454
36,5351323570
23,8307758380
23,9099487309
36,8112447434
23,2458226248
36,6944471934
23,5279475782
23,6460231396
23,8183129371
23,2803535363
23,8825160127
23,6623863695
23,4954489835
23,4954489835
23,5194884423
36,2154754634
23,8413805952
23,4431143644
36,9964240942
36,7560757983
23,1230361680
23,1083087878
23,2921869936
23,7206335967
23,5565965043
23,1587567043
23,3278951902
23,6620734201
23,2921902510
36,5024145745
23,3200886834
23,6731955150
23,9642547742
23,2000246409
23,9935277224
23,2889222364
23,7324603042
23,5351323570
23,9122679336
23,5561536229
36,6542218297
36,2551806351
36,7120138859
36,4232102085
23,3016021702
23,1439647057
23,1555891747
23,5561536229
23,9623842503
23,4200909512
23,7382796198
36,2322121745
36,3775293142
23,8112447434
23,7380632304
23,3430064846
23,3853175668
23,7184680655
36,1904593712
